	0	1
0	投稿求大修	刚刚被拒,还没歇口气,就发现老板又给投了新的杂志了,求过,求大修啊
1	论文录用后还未见刊,但以该论文为基础的专著先出版了怎么办	求助有一篇英文论文,2020年11月投稿,2021年7月收到录用通知,之后一直在走程序还没见刊只有DOI号。在这篇论文投稿后,内容写进了一本中文专著,专著2021年12月已经印刷出版。请问专著先出版了会影响论文吗,论文见刊时算不算一稿多投?还是说论文投稿和录用时间早于专著出版时间是可以的?咨询各位大佬的意见。
2	振动与冲击投稿	5月5日投稿,今天5月12依然显示最新收稿,这是肿么回事呀
3	nanotechnology期刊投稿的proof问题求助	nanotechnology期刊,请问这个邮件是proof的邮件吗?还是这个不是proof,近期会再发一封邮件进行proof。请投过的朋友给予帮助,谢谢微信图片_20210309105716.png
4	CEJ二审一个月了可以催稿吗?	CEJ二审月初提交的,现在还在underreview,期间8月24号变动过一次日期。初审两个专家评价都挺好的,提了一些修改意见,编辑给了一个月。有投过的朋友们知道是什么情况吗?现在可以催稿吗?(祝各位虫友们文章都中中中!
5	中国测试期刊	中国测试的复审审查是一个什么状态?有知道的大佬吗?
6	journal of chromatography的投稿格式	想投一篇普通研究性论文(关于分离纯化岩藻黄素的新方法),期刊官网上面好像没有格式?求大佬解答
7	SCI投稿问题	:各位虫友好,麻烦问下这种情况怎么办。我在一个期刊投稿,因为投稿系统通讯作者和论文中标示的不一致,二审后进行了通讯作者转移,然后我的投稿系统没有了投稿信息。编辑说转移到通讯作者了,要登录他的账号进去。因为之前通讯作者没有在该期刊注册过账号,只是在最初提交论文时填了邮箱信息。转移后,我用通讯的邮箱进行了注册,但是登录后,系统还是没有相关信息,怎么办呢??在线等,感谢各位老友,祝大家今年都有新突破。
8	Origin输出eps图片格式设置问题	一般国外SCI期刊对这个格式文件设置要求是什么?我所投期刊没有找到,附图是我的一个设置
9	Under review一个半月后时间变化,状态不变,想问大神这种拒稿概率大吗?	本人提交的是综述文章(review),期刊是爱思唯尔environmentinternational(if=7.58)投稿前提前联系了主编确认了主题和方向可以投稿,投稿后第二天就underreview.可能太快,没有看到witheditor的状态,但是已经过去了一个半月,没有状态变化,仅仅是一个多月后,也就是最近,有了时间的变化,具体如下:jul29,2020submittedtojournaljul30,2020underreviewsep06,2020underreviewsep12,2020underreviewsep14,2020underreviewsep17,2020underre...
10	投稿疑惑,麻烦大家帮忙看看这两句话的意思	1.Customquestionscanhaveprepopulatedresponsesconfiguredbythejournal?2.CustomquestionsandresponsescanalsoappearontheTransmittalForm?毕业保命,先谢谢各位好心人!
11	编辑刚拒搞了	拒搞意见如下:Editors\'/Reviewers\'comments(ifany):Thisisaninterestingpaper,butitispurelytheoretical.Thatdoesnotfittheaimsandscopeofthisjournal.Ifyouweretoincludesomecomparisontoexperiment(includinganalysisoffailedpas)thenitwouldbeappropriatefohisjournal.AswrittenIcannotconsideritforreview.可是条件不允许,没法做实...
