label	title
稿件状态研判	最近applied surface science 好慢诶,投了一周多了还是submitted to journal
期刊属性	询问期刊
稿件状态研判	CBM with editor一个月
期刊属性	Frontiers期刊投稿,图和表怎么放?
期刊属性	请问《设备管理与维修》是什么样的期刊?
期刊推荐	推荐一些控制类比较好中的4区期刊
稿件状态研判	pimrc会议结果
投稿方式	没有按照规定时间,在系统上传论文终版会不会影响发表?
写作交流	博一小白求教靠谱的润色机构
投稿方式	刚刚接收,发现学校名写错
投稿方式	Franklin Institute返修Decision in Process快两个月
期刊属性	投稿Zeitschrift für Kristallographie  New Crystal Structures
稿件状态研判	投稿42天,无任何消息
期刊属性	中国科技论文
审稿意见解读与回应	Applied optics 投稿求助,目前进入到production阶段了
稿件状态研判	Biomass Conversion and Biorefinery online两个月了还没见刊
投稿方式	杂志建议转投其他
投稿方式	submitted to journal两个月没变化,发邮件询问没回应,想撤稿,求助
稿件状态研判	Associate Editor Decision Staed11天了,什么情况
期刊推荐	图书情报专业小论文投稿求助
期刊推荐	有没有大哥们知道非常快的中文核心和中文ei之类的
稿件状态研判	麻烦问下MDPI杂志社pending conversion状态是什么意思啊!
投稿方式	博士,副教授,投稿时用哪个称呼
期刊推荐	数学类有没有好中的二三区sci
期刊属性	中学地理教学参考投稿周期
期刊推荐	求推荐计算数学领域接收快的杂志
审稿意见解读与回应	论文返修求助
投稿方式	2022EMBC投稿
投稿方式	BMC 二审状态咨询
稿件状态研判	外审真的会拖5个月吗
投稿方式	Nature comm.的Delete Halted Submission能不能点
期刊属性	Springer期刊能不能挂双通讯
期刊属性	social choice and welfare 期刊审稿速度
投稿方式	关于transfer
期刊推荐	水处理领域投稿普通期刊推荐
期刊属性	急求助cheniese journal of natural medicines多久能online
稿件状态研判	awaiting reviewer selection一天后变成awaiting editor decision
期刊推荐	求好中的化学类四区期刊
投稿方式	投《煤炭工程》稿件状态一直显示总编终审
期刊属性	投稿机械工程学报
期刊推荐	有没有比较好中的EI会议推荐?机器视觉或者水下无人系统领域,准备投稿EI会议一篇。
稿件状态研判	OE大修审稿人都是一天就审完
投稿方式	关于控制与决策投稿新用户注册问题
期刊推荐	急投省级及以上化工类期刊
期刊推荐	水处理吸附
期刊属性	jom期刊投稿请教
期刊属性	Nat. Catal.一般审稿周期多久?
审稿意见解读与回应	审稿意见回复求助
稿件状态研判	SCI论文接收之后,怎么又under review了?
稿件状态研判	论文投稿IAAST爱思德大家要小心
期刊属性	ACS Biomaterials Science  Engineering与ACS Applied Bio Materials比较
投稿方式	JMCA online 后变成第二作者了
稿件状态研判	请问有投过nature子刊的吗
期刊推荐	求录用快的四区计算机SCI,非开源
价值判断	投稿三天,期刊说论文需要润色,有必要嘛?
稿件状态研判	材料与化工302求调剂
期刊属性	IEEE 最后awaiting decision 一般需要等多久
期刊属性	《系统工程学报》求解
投稿方式	向编辑申请推迟提交修改稿,但是没有回复,怎么办?
投稿方式	投稿注册,一直提示please check the box below to prove you are human
稿件状态研判	两轮大修了,希望三审能够顺利!求最后一位专家高抬贵手!
期刊属性	RSC Advances 投稿的命中率
期刊属性	Precision Engineering期刊投稿,哪位前辈投过。
期刊属性	Elsevier期刊的SELECT YOUR STATUS到底怎么填写啊?
稿件状态研判	Chinese Journal of Chemistry期刊投稿状态咨询
稿件状态研判	投稿TNNLS,出现EIC not assigned,ADM not assigned, Under Review.
期刊属性	论文四审with editor一周了,不知道还要等多久
投稿方式	OL审稿1个月,求助
期刊属性	在线等
投稿方式	求助:文章投了快一个月,该期刊推荐了转投其他杂志,请问接收转投是否需要再次修改?
期刊属性	湖南大学学报(自然科学版)终审一般要多久?
期刊属性	中科院分区查询求助
期刊属性	请问JACS第二轮审稿多长时间?
写作交流	求hindawi优惠码
投稿方式	polymers for advanced technologies
期刊属性	制造业自动化版面费6k,行情价?
稿件状态研判	Visual Computer投稿问题求助
期刊属性	Materials Science and Engineering B 杂志投稿求助
期刊属性	IEICE投稿必须会员吗
稿件状态研判	编辑已经一个多月没有处理稿件了
投稿方式	联系编辑修改论文版面费遇到的问题
投稿方式	《科学技术与工程》审稿周期
期刊推荐	人工智能医学图像分割求助!!!
写作交流	Advanced Manufacturing Technology的endnote 参考文献模板文件
稿件状态研判	中国环境科学外审
行业术语	广西大学学报(哲学社会科学版) 怎么样?
投稿方式	Elsevier期刊,投稿第三天直接decision in process并持续半个月至今
期刊推荐	字数较多的认知心理学相关论文可选择什么样的期刊?
稿件状态研判	鼠鼠们 这个是什么情况
投稿方式	投稿,原来的官网不能投新稿了,
期刊属性	求助 投稿Scripta Materialia存在的模版问题,如果有虫友提供模版则万分感谢!!!
投稿方式	没收到版权协议有什么办法处理么
期刊属性	Hindawi图片格式
投稿方式	Environmental Science and Pollution Research投稿问题
投稿方式	mdpi SciProfiles?
期刊推荐	有关环境专业的文章投稿求助
期刊推荐	期刊
期刊推荐	请问一下 电气中文核心那些比较容易中,那些一审意见比较快
稿件状态研判	希望有好运
稿件状态研判	电工技术学报复审
稿件状态研判	投稿状态在awaiting reviewer selection 和 awaiting reviewer assignment之间变化
稿件状态研判	PLOS ONE 投稿 Decision in process 快一个月 没结果
投稿方式	论文一审返修已经25天了,还在with editor阶段
期刊属性	Materials Letters审稿
投稿方式	投稿 JMS 期刊时,ORCID不能注册
投稿方式	中文期刊的图片版权怎么获取
稿件状态研判	一审大修,返回后直接就变成required review completed?
期刊属性	IEEE Internet of Things Journal
审稿意见解读与回应	Your submissionhandled by Administrative Suppo Agent 啥意思?
投稿方式	Science advance回复信提交后,多久会收到消息
期刊属性	Electrochimica Acta 投稿论文模板
期刊属性	化工新型材料论文模板的word版本
稿件状态研判	Advances in Manufacturing投稿
投稿方式	投稿咨询
期刊属性	Journal of Materials Research and Technology期刊版面费
投稿方式	投稿一个月一直是with journal administrator,应该怎么办呢?
投稿方式	autodock发sci论文需要版权嘛
期刊属性	投sci论文如何知道期刊是否收取版面费、加工费等费用呢?求大神指点!
稿件状态研判	初审复核已审回什么意思
期刊属性	ACS central science投稿求助
投稿方式	SCI的系统在线proof
期刊推荐	低碳消费求刊
投稿方式	Nonlinear dynamics接收后2周后发来确认出版模式的邮件,什么时候校对稿件呀
稿件状态研判	DSP一审decision11天没消息
期刊属性	电力电子技术期刊投稿求助
审稿意见解读与回应	hindawi的编辑给回复了,但我好像有点不太理解。
稿件状态研判	ACS applied energy materials 投稿,
投稿方式	投稿求助
期刊推荐	求图像处理方面好中的期刊
写作交流	论文这样算抄袭吗?
投稿方式	文章被拒后要听编辑的联建议转投吗
稿件状态研判	机器人没有一区了?
稿件状态研判	under review 7天
期刊属性	《建筑科学》
审稿意见解读与回应	大家一般怎么面对自己错误的解释?
投稿方式	ieice electronics express如何查论文状态
期刊属性	journal of colloid and interface science模板
稿件状态研判	SCI论文问题
期刊推荐	小弟第一次写了篇关于计算化学的论文 请各位推荐一本低影响因子好中的SCI投稿
期刊推荐	农药制剂方向sci期刊推荐
投稿方式	在 wind and structures 录用后发表时间
期刊推荐	英文综述查重软件
期刊属性	International Journal of Performability Engineering
期刊属性	water research专栏
审稿意见解读与回应	回复审稿人
投稿方式	请问终审一个月没有消息能过吗?
期刊推荐	求期刊推荐
投稿方式	ACS cover charge缴费经验
稿件状态研判	Nanomaterials (IF: 5.076, Q1 in Physics, Applied) 广泛征稿啦
写作交流	求环境科学期刊论文修改方式,直接原文修订,还是怎样?
价值判断	science投稿求助
稿件状态研判	JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY
期刊属性	Systematic Reviews ISSN: 20464053 投稿求助
期刊推荐	接收复杂网络方向的投稿期刊有哪些啊?
期刊属性	Pattern recognition初稿格式求问
稿件状态研判	请问论文提交后,但是被编辑直接拒绝,可以申请argue么。
投稿方式	International Journal of Electrochemical Science版面费报销
审稿意见解读与回应	AM转AFM
期刊属性	请问数据手册,大佬们知道怎么在论文中引用吗?
投稿方式	有投wasa2022会议的铁子吗
期刊属性	制造业自动化投稿
审稿意见解读与回应	MECHANISM AND MACHINE THEORY 投稿求助
期刊属性	《化学通报》审稿需要多久呀?
稿件状态研判	二审返修一个月了,一直处于等待邀请审稿人阶段咋办
稿件状态研判	Optics Express 投稿状态一直卡在Peer Review阶段
投稿方式	投稿一篇二区ssci二审小修,提交后三审2个月10天了,正常吗?
